"case_id","module","test_point","priority","preconditions","steps","expected","automation","gate_stage"
"NF-PKG-002","打包","VSIX干净环境安装与启动","P0","使用全新VSCode Profile","安装VSIX，执行`Open CAD Editor`","扩展可激活；编辑器面板可正常打开","RC手工验收","RC Gate"
"NF-PKG-003","打包","打包前后命令可见性一致","P1","本地开发安装+VSIX安装均可用","对比命令面板中的5个贡献命令","命令集合一致，无缺失","半自动对比脚本","RC Gate"
"NF-COMP-001","兼容性","Node `18.x`兼容构建","P0","切换到Node 18环境","运行`pnpm lint` + `pnpm build:extension` + `pnpm build:webview`","全部成功","CI矩阵","PR Gate"
"NF-COMP-002","兼容性","Node `20.x`兼容构建","P0","切换到Node 20环境","同上","全部成功","CI矩阵","PR Gate"
"NF-COMP-003","兼容性","VSCode `1.80.x`安装运行兼容","P1","准备1.80.x环境","安装VSIX并执行核心命令","核心命令可用；无版本阻断报错","RC手工","RC Gate"
"NF-COMP-004","兼容性","最新稳定版VSCode兼容","P0","准备最新稳定版VSCode","安装VSIX并执行核心命令","核心命令可用；Webview交互正常","RC手工","RC Gate"
"NF-COMP-005","兼容性","OS兼容（Windows 11 / Ubuntu 22.04）","P1","双OS环境可用","在两套OS各执行PR Gate命令与核心命令冒烟","两端均可构建与运行","CI+手工补充","RC Gate"
"NF-SEC-001","安全基础","依赖漏洞基础扫描","P1","网络可访问npm registry","执行`pnpm audit --prod`并归档结果","无`critical`漏洞；`high`有处置记录","Nightly执行+阈值告警","Nightly"
"NF-SEC-002","安全基础","配置导入字段白名单/Schema约束","P0","准备越权字段/类型错误JSON","导入异常配置并观察行为","非法字段不应导致执行异常；校验错误可见","PR轻量回归","PR Gate"
"NF-SEC-003","安全基础","Webview消息输入健壮性","P0","可模拟异常消息payload","注入超长/缺字段/非法类型消息","不崩溃；消息被拒绝或降级处理","集成测试脚本化","PR Gate"
"NF-SEC-004","安全基础","命令路径参数安全（导入/导出）","P1","准备特殊字符路径、长路径","执行导入/导出命令并验证行为","无命令注入/路径穿越副作用；报错可控","RC手工+脚本","RC Gate"
"NF-SEC-005","安全基础","打包产物敏感信息检查","P1","已生成VSIX","检查产物中是否包含密钥/本地绝对路径/调试残留","不包含敏感信息；仅发布必要文件","RC脚本扫描","RC Gate"
